Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
32,170.0,0.0,1200.0,32.0,24.0,1200.0,0.027017914965282358,10.471378845256723,10.471378845256723,1.0,11.359490156173706,,,,0.21225997643626254,0.20689028944260526,0.9962425231933594,0.06892948597669601,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,2.901418,1.0726453,5.9956098,1.3382034,-1.067152068062969,5.956715926724094,10.835853880395785,-11.588971784166782,,,,,,,,,,,,,,,,,,,,,3.0178986,2.1084054,6.580435,0.26828447,4.514109585537027,0.9636060303912125,6.321578115678853,-4.440567313611092,0.22901698841849638,0.9512255187503459,1.1763028306313212,-1.127604869346139
33,194.0,0.0,1224.0,33.0,24.0,1224.0,-0.021376645115338523,2.9305459517414114,2.9305459517414114,1.0,12.19696307182312,,,,0.23893943169842596,0.20606501239409486,1.0879405736923218,0.07768946886062622,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,4.221502,1.3375247,7.4242415,1.9433708,-4.808204336335817,5.308685265794661,4.1257727196585945,-14.836493235039029,,,,,,,,,,,,,,,,,,,,,3.310942,2.517504,6.3653507,-1.3333073,4.537392740863722,1.177649655800994,6.388367823816365,-7.599316179316467,0.22774790868729936,0.9726657848065856,1.1712159019836688,-1.2036904927493615
34,218.0,0.0,1248.0,34.0,24.0,1248.0,-0.01721602597342553,-2.071238427448847,-2.071238427448847,1.0,13.083064556121826,,,,0.2680803699337918,0.21100542644061793,0.8485769033432007,0.05302704870700836,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,4.662126,2.2662823,12.07109,1.2588633,-12.018037253493377,6.9323277905790395,0.821303548878346,-22.03301922265625,,,,,,,,,,,,,,,,,,,,,2.264848,2.0673306,5.943094,-1.3039746,4.586962096059314,1.3023447048236036,6.452342614192839,-7.58525165693087,0.24529921972716498,0.9510649581254833,1.2102502259221324,-1.2207908625411135
35,241.0,0.0,1271.0,35.0,23.0,1271.0,-0.021313470137304114,-2.4926456357861113,-2.4926456357861113,0.0,13.970671653747559,,,,0.24799897758798164,0.17584121083352663,0.6817147135734558,0.06015210226178169,9.999999999999999e-05,1.3552527156068805e-20,0.0001,0.0001,4.495788,1.4443489,7.084503,2.221249,-12.321001198921213,6.538455871710219,0.34463094946037476,-21.888570180054284,,,,,,,,,,,,,,,,,,,,,2.6225855,2.3981915,6.323857,-1.5545882,4.6447817690713915,1.3875949329426014,6.548670374412412,-7.567909737985557,0.27739253627519833,0.945434931315936,1.1605534501466537,-1.18478871642492
36,265.0,0.0,1295.0,36.0,24.0,1295.0,0.02083329789168038,-7.079003317786226,-7.079003317786226,1.0,14.978440761566162,,,,0.3241856678024582,0.24269475359088274,1.215307354927063,0.07398894429206848,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,5.802797,2.085984,9.923203,2.056513,-14.089165923425995,6.49430082947112,-1.4928262253268638,-25.04070010721367,,,,,,,,,,,,,,,,,,,,,2.5613835,2.5703528,6.5031524,-2.4599454,4.663934936043098,1.6356609828580506,6.654866968650693,-7.610551556656015,0.30990484251111994,0.9222805017725094,1.2020481598270256,-1.1407851491553618
37,289.0,0.0,1319.0,37.0,24.0,1319.0,-0.0013508787625708632,-8.112431552745594,-8.112431552745594,1.0,16.07722306251526,,,,0.3903814904067827,0.23307773612634836,0.7946871519088745,0.06312257051467896,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,5.8450346,2.2143576,9.217523,1.9376657,-13.519109263509378,7.959188021386292,-0.7053805606403323,-27.084208048764562,,,,,,,,,,,,,,,,,,,,,2.8888466,2.9187531,6.64332,-2.9352674,4.710176637310557,1.6891083075924302,6.504943508800756,-7.683539301079199,0.23217264894585152,0.9592657693032444,1.2063562409564375,-1.181511162848413
38,313.0,0.0,1343.0,38.0,24.0,1343.0,-0.002901944883871291,-10.59132335705909,-10.59132335705909,1.0,16.958910942077637,,,,0.5084331139274265,0.27012875720851187,0.991749107837677,0.17819494009017944,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,7.913778,2.778201,13.426055,2.6265552,-15.59479191085723,7.883047616386454,-0.9606077539988949,-28.446504706895027,,,,,,,,,,,,,,,,,,,,,2.8689468,2.665937,6.723774,-2.1358414,4.766083677809003,1.8238536459103332,6.731753471662645,-7.706331372183248,0.22219915498137394,0.9552929573709042,1.1619533538715872,-1.1942241488135896
39,336.0,0.0,1366.0,39.0,23.0,1366.0,0.01894511393136248,-3.8968262396421958,-3.8968262396421958,1.0,17.87930655479431,,,,0.32761861282316124,0.18879718218195182,0.9395754933357239,0.1069820448756218,9.999999999999999e-05,1.3552527156068805e-20,0.0001,0.0001,6.0393925,3.1286674,13.392986,2.3677263,-11.364483829114635,6.221209234403687,-1.2959545039856843,-21.881385852704234,,,,,,,,,,,,,,,,,,,,,3.2584677,2.3171163,6.822057,-1.4993527,4.844455810229863,1.7983622778333954,6.929068359393948,-7.763955265590798,0.17933039741373788,0.9743222085843797,1.2672803834381459,-1.1641821330136932
40,359.0,0.0,1389.0,40.0,23.0,1389.0,0.000760056770710546,-11.71915950782697,-11.71915950782697,0.0,18.78724479675293,,,,0.417755339294672,0.2916160506541375,1.1733217239379883,0.09686814993619919,9.999999999999999e-05,1.3552527156068805e-20,0.0001,0.0001,7.1506443,3.0989473,14.254599,2.664782,-15.057887361164425,6.858195902594939,-1.12321511034592,-26.224939201798485,,,,,,,,,,,,,,,,,,,,,3.6787212,2.4897523,7.0254116,-0.49661657,4.88346245952244,1.91926665122726,7.028001939315671,-7.848192822259351,0.2238312442721241,0.9400197591212683,1.1706174512389051,-1.12394513797992
41,382.0,0.0,1412.0,41.0,23.0,1412.0,-0.022605702722534725,-35.77844531646324,-35.77844531646324,1.0,19.658395051956177,,,,0.43119659748944367,0.2123741622546494,1.0500649213790894,0.10483956336975098,9.999999999999999e-05,1.3552527156068805e-20,0.0001,0.0001,5.976434,2.3456361,12.409943,2.9447157,-30.754269760838444,13.935305813163621,-0.4244858791765287,-48.813462901011846,,,,,,,,,,,,,,,,,,,,,3.5385725,1.9232721,6.9797144,1.1340281,4.928024803388651,2.1350960488116684,7.121341504115934,-7.897957419464242,0.2841792371389455,0.9205255014661416,1.1895098444606087,-1.1926518760331328
